DEPARTAMENTO,MUNICIPIO,ESTADOS,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_ACTIVOS_MES,INVERSION,ZONA,DIFICULTADACCESO,TIPO_CONECTIVIDAD
TOLIMA,CUNDAY,OPERACION,30.0,30.0,10.2646484375,124.3349609375,78,65915373.47,URBANA,,
TOLIMA,PURIFICACION,OPERACION,20.0,20.0,10.7060546875,202.5791015625,60,53963793.0,URBANA,,
NORTE DE SANTANDER,MUTISCUA,OPERACION,30.0,30.0,13.287109375,105.40234375,40,65915373.47,URBANA,,
SANTANDER,MOGOTES,OPERACION,30.0,30.0,6.5029296875,85.4453125,60,65915373.47,URBANA,,
NARIÑO,PUPIALES,OPERACION,30.0,30.0,5.93359375,45.7275390625,38,65915373.47,URBANA,,
ANTIOQUIA,GOMEZ PLATA,OPERACION,20.0,20.0,2.0810546875,32.9033203125,8,53963793.0,URBANA,,
NORTE DE SANTANDER,SANTIAGO,OPERACION,30.0,30.0,13.044921875,176.2666015625,31,65915373.47,URBANA,,
NARIÑO,EL TABLON DE GOMEZ,OPERACION,30.0,30.0,4.5859375,64.78125,37,65915373.47,URBANA,,
TOLIMA,PRADO,OPERACION,30.0,30.0,0.673828125,9.44921875,8,65915373.47,URBANA,,
CASANARE,AGUAZUL,OPERACION,20.0,20.0,6.2900390625,120.3984375,72,53963793.0,URBANA,,
ANTIOQUIA,SAN VICENTE,OPERACION,20.0,20.0,8.5390625,152.7392578125,65,53963793.0,URBANA,,
CALDAS,BELALCAZAR,OPERACION,30.0,30.0,3.841796875,44.28125,68,65915373.47,URBANA,,
BOYACA,QUIPAMA,OPERACION,30.0,30.0,5.591796875,66.39453125,23,65915373.47,URBANA,,
ATLANTICO,JUAN DE ACOSTA,OPERACION,30.0,30.0,6.4287109375,104.166015625,51,65915373.47,URBANA,,
HUILA,RIVERA,OPERACION,30.0,30.0,3.2001953125,33.1708984375,24,65915373.47,URBANA,,
ATLANTICO,LURUACO,OPERACION,20.0,20.0,33.0224609375,554.59375,52,53963793.0,URBANA,,
CESAR,LA PAZ,OPERACION,20.0,20.0,23.228515625,309.224609375,29,53963793.0,URBANA,,
CAQUETA,CURILLO,OPERACION,30.0,30.0,2.7646484375,18.8984375,18,65915373.47,URBANA,,
CUNDINAMARCA,TIBIRITA,OPERACION,30.0,30.0,33.8037109375,239.7724609375,64,65915373.47,URBANA,,
ATLANTICO,SABANAGRANDE,OPERACION,20.0,20.0,0.380859375,3.5693359375,2,53963793.0,URBANA,,
SUCRE,SUCRE,OPERACION,30.0,30.0,18.3388671875,389.5810546875,45,65915373.47,URBANA,,
CESAR,SAN MARTIN,OPERACION,30.0,30.0,2.6474609375,48.6826171875,41,65915373.47,URBANA,,
LA GUAJIRA,BARRANCAS,OPERACION,20.0,20.0,7.5166015625,92.322265625,22,53963793.0,URBANA,,
TOLIMA,FRESNO,OPERACION,30.0,30.0,12.056640625,131.994140625,79,65915373.47,URBANA,,
VALLE DEL CAUCA,VIJES,OPERACION,30.0,30.0,7.6845703125,136.20703125,35,65915373.47,URBANA,,
ANTIOQUIA,ANZA,OPERACION,30.0,30.0,13.9921875,179.345703125,132,65915373.47,URBANA,,
CUNDINAMARCA,VILLAGOMEZ,OPERACION,30.0,30.0,1.345703125,45.658203125,5,65915373.47,URBANA,,
BOYACA,UMBITA,OPERACION,30.0,30.0,5.916015625,74.90625,25,65915373.47,URBANA,,
ATLANTICO,JUAN DE ACOSTA,OPERACION,30.0,30.0,5.427734375,104.1923828125,53,65915373.47,URBANA,,
VALLE DEL CAUCA,RESTREPO,OPERACION,30.0,30.0,0.5908203125,7.91015625,8,65915373.47,URBANA,,
BOYACA,GsICAN,OPERACION,30.0,30.0,8.3681640625,100.9697265625,42,65915373.47,URBANA,,
HUILA,SUAZA,OPERACION,30.0,30.0,20.5087890625,208.099609375,118,65915373.47,URBANA,,
CUNDINAMARCA,FOSCA,OPERACION,30.0,30.0,0.0,0.0,0,65915373.47,URBANA,,
ANTIOQUIA,JARDIN,OPERACION,30.0,30.0,10.2744140625,38.2587890625,159,65915373.47,URBANA,,
